Отметка времени,Что бы вы хотели прямо сейчас?,Вы хотите чтобы напиток: ,Кофеин для вас—это…,Какой уровень сладости вам комфортен?,Какое молоко вы предпочитаете?,Объём(если предпочитаете конкретный-укажите),Вам больше нравится:,Любите ли вы чай?,Газированный напиток?,Сколько льда вы предпочитаете в прохладительных напитках?,Как вы относитесь к необычным сочетаниям?
23.06.2026 15:32:40,Освежающее,Остудил,Не желательно,Умеренно сладкий,Обычное,Большой (более 350 мл),Ягодные ноты,"Травяной (ромашка, мята и т.п.)",Слабогазированный,Нет льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:34:20,Освежающее,Остудил,Не желательно,Умеренно сладкий,Любое,Большой (более 350 мл),Ягодные ноты,Зелёный,Слабогазированный,Много льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:35:11,Освежающее,Остудил,"Желательно, но не принципиально",Предпочитаю несладкие напитки или минимум сиропа,Обычное,Средний (200-350 мл),Цветочные ноты,"Травяной (ромашка, мята и т.п.)",Совсем без газа,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:35:35,Освежающее,Удивил,"Желательно, но не принципиально",Предпочитаю несладкие напитки или минимум сиропа,Любое,Большой (более 350 мл),Цветочные ноты,"Травяной (ромашка, мята и т.п.)",Совсем без газа,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:36:57,Освежающее,Удивил,"Желательно, но не принципиально",Предпочитаю несладкие напитки или минимум сиропа,Без молока,Средний (200-350 мл),Ореховые ноты,Чёрный,Совсем без газа,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:39:54,Освежающее,Остудил,Не желательно,Умеренно сладкий,Обычное,Большой (более 350 мл),Фруктовые ноты,Зелёный,Слабогазированный,Нет льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:54:58,Освежающее,Остудил,"Желательно, но не принципиально",Сладкий,Любое,Большой (более 350 мл),Цветочные ноты,Без чая,"Да, сильно газированный",Мало льда,Люблю экзотику
23.06.2026 15:59:16,Освежающее,Остудил,Не желательно,Умеренно сладкий,Любое,Средний (200-350 мл),Ягодные ноты,Чёрный,"Да, сильно газированный",Много льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 15:59:36,Расслабляющее,Согрел,Не желательно,Предпочитаю несладкие напитки или минимум сиропа,Без молока,Маленький (до 200 мл),Ягодные ноты,Зелёный,Совсем без газа,Нет льда,Только классика
23.06.2026 16:02:49,Освежающее,Удивил,Не желательно,Предпочитаю несладкие напитки или минимум сиропа,Обычное,Большой (более 350 мл),Ягодные ноты,Зелёный,Слабогазированный,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 16:04:56,Освежающее,Удивил,"Желательно, но не принципиально",Умеренно сладкий,Любое,Средний (200-350 мл),Цветочные ноты,"Травяной (ромашка, мята и т.п.)",Совсем без газа,Мало льда,Люблю экзотику
23.06.2026 16:40:53,Освежающее,Удивил,Не желательно,Сладкий,Обычное,Средний (200-350 мл),Ягодные ноты,Зелёный,"Да, сильно газированный",Нет льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 16:59:59,Бодрящее,Остудил,"Желательно, но не принципиально",Сладкий,Обычное,Большой (более 350 мл),Ягодные ноты,Чёрный,"Да, сильно газированный",Нет льда,Только классика
23.06.2026 17:03:07,Бодрящее,Удивил,"Желательно, но не принципиально",Умеренно сладкий,Любое,Большой (более 350 мл),Ягодные ноты,"Травяной (ромашка, мята и т.п.)",Слабогазированный,Нет льда,Люблю экзотику
23.06.2026 17:11:50,Бодрящее,Удивил,"Желательно, но не принципиально",Умеренно сладкий,Обычное,Большой (более 350 мл),Ягодные ноты,Зелёный,Слабогазированный,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 17:47:46,Бодрящее,Остудил,Обязательно,Предпочитаю несладкие напитки или минимум сиропа,Обычное,Средний (200-350 мл),Ягодные ноты,Молочный улун,Совсем без газа,Мало льда,Люблю экзотику
23.06.2026 18:43:50,Освежающее,Удивил,"Желательно, но не принципиально",Умеренно сладкий,Обычное,Большой (более 350 мл),Ягодные ноты,Зелёный,Совсем без газа,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 19:52:03,Расслабляющее,Удивил,"Желательно, но не принципиально",Сладкий,"Растительное (миндальное, овсяное, кокосовое, соевое и т.п.)",Большой (более 350 мл),Ореховые ноты,Без чая,Слабогазированный,Нет льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 21:02:57,Бодрящее,Удивил,"Желательно, но не принципиально",Умеренно сладкий,Любое,Большой (более 350 мл),Ягодные ноты,"Травяной (ромашка, мята и т.п.)",Слабогазированный,Нет льда,Люблю экзотику
23.06.2026 21:47:10,Расслабляющее,Удивил,Обязательно,Умеренно сладкий,"Растительное (миндальное, овсяное, кокосовое, соевое и т.п.)",Средний (200-350 мл),Ореховые ноты,"Травяной (ромашка, мята и т.п.)",Совсем без газа,Нет льда,Люблю экзотику
23.06.2026 22:00:58,Расслабляющее,Остудил,Обязательно,Сладкий,Обычное,Большой (более 350 мл),Ореховые ноты,Чёрный,"Да, сильно газированный",Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
23.06.2026 22:08:47,Бодрящее,Удивил,"Желательно, но не принципиально",Умеренно сладкий,Обычное,Средний (200-350 мл),Ягодные ноты,Чёрный,"Да, сильно газированный",Мало льда,Люблю экзотику
23.06.2026 22:19:39,Расслабляющее,Удивил,Не желательно,Умеренно сладкий,Без молока,Средний (200-350 мл),Ягодные ноты,Зелёный,Слабогазированный,Мало льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
24.06.2026 8:08:44,Освежающее,Остудил,"Желательно, но не принципиально",Умеренно сладкий,Без молока,Большой (более 350 мл),Ягодные ноты,Чёрный,"Да, сильно газированный",Много льда,"Скорее придерживаюсь классики, но иногда пробую новинки"
